Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,5.93,5.94,5.73,6.1,6.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,5.78,5.94,5.73,6.1,7.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,5.54,5.94,5.73,6.1,10.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,5.96,5.94,5.73,6.1,5.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,5.68,5.94,5.73,6.1,9.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,Patient safety,Safe culture,OF0061,NHS Staff survey - raising concerns sub-score,2025,%,5.72,5.94,5.73,6.1,8.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,"Finance, productivity and innovation",Finance,OF0079,Planned surplus/deficit,Jun-26,%,0.0,0.0,0.0,0.0,2.0
